"","Materials","Quant","Cost","Upper","Source","NAICS.Code","cont","naicsname","Mat"
"11","Pure Molybdenum Metal [kg]",486104.08,28.5,NA,"?",331491,0.107365105671904,"Primary Metal Manufacturing","Molybdenum"
"12","Sputtering target, Mo [kg]",486104.08,105.3,NA,"alibaba search ""Mo Sputtering Target"" mean",NA,0.396685811482507,NA,"Molybdenum"
"13","Transport, barge, average fuel mix [t*km]",-3369.02111936667,2.671749,NA,"http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_statistics/html/table_03_21.html",483113,-6.97571001845496e-05,"Water Transportation","Molybdenum"
"14","transport, barge, diesel powered [t*km]",-741.184646260668,2.671749,NA,"http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_statistics/html/table_03_21.html",483113,-1.53465620406009e-05,"Water Transportation","Molybdenum"
"15","Transport, barge, residual fuel oil powered [t*km]",-2627.83647310601,2.671749,NA,"http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_statistics/html/table_03_21.html",483113,-5.44105381439487e-05,"Water Transportation","Molybdenum"
"16","transport, combination truck, diesel powered [t*km]",-180.203455221938,20.79001,NA,"http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_statistics/html/table_03_21.html",484121,-2.90339979449043e-05,"Truck Transportation","Molybdenum"
"17","Transport, pipeline, natural gas [t*km]",-2867.42294299466,1.956363,NA,"http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_statistics/html/table_03_21.html",486210,-4.3474062563165e-05,"Pipeline Transportation","Molybdenum"
"18","transport, train, diesel powered [t*km]",-27783.8772098039,3.430935,NA,"http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_statistics/html/table_03_21.html",482111,-0.000738744687699726,"Rail Transportation","Molybdenum"
"19","Acetone Production [kg]",19.1800022005821,0.44,0.62,"http://www.icis.com/chemicals/channel-info-chemicals-a-z/",325199,1.11622217907766e-07,"Chemical Manufacturing","Graphene"
"20","benzene [kg]",10.8603962180475,3.45,4.45,"http://www.icis.com/chemicals/channel-info-chemicals-a-z/",325110,4.95580356046191e-07,"Chemical Manufacturing","Graphene"
"21","Chlorine, production mix, at plant [kg]",20321.2952710875,0.21,0.36,"http://www.icis.com/chemicals/channel-info-chemicals-a-z/",325180,5.64442880391653e-05,"Chemical Manufacturing","Graphene"
"22","copper sheet [kg]",2133.3332706892,7.4957,NA,"http://minerals.usgs.gov/minerals/pubs/commodity/copper/mcs-2014-coppe.pdf",331420,0.00021150479684184,"Primary Metal Manufacturing","Graphene"
"23","de-ionised water [kg]",150666.68390076,9e-04,NA,"http://books.google.com/books?id=DJaxUL3numgC&pg=PA263&lpg=PA263&dq=hydrochloric+acid+kg+price&source=bl&ots=2dWfmx9S6t&sig=7RIPbC6N8ffN-3pzqR1HbC_qOZo&hl=en&sa=X&ei=sdj0U7WJKePHiwLml4HgDw&ved=0CG8Q6AEwBg#v=onepage&q=hydrochloric%20acid%20kg%20price&f=false",325998,1.79353170241635e-06,"Chemical Manufacturing","Graphene"
"24","Dummy, Disposal, sludge, to sanitary landfill [kg]",173559.557157692,0,NA,NA,NA,0,NA,"Graphene"
"25","Dummy, TEA gas scrubber, at plant [kg]",1.72340936844896e-05,0,NA,NA,NA,0,NA,"Graphene"
"26","Electricity, at cogen, for natural gas turbine [kWh]",0.274519597804204,0.0641,NA,"http://api.eia.gov/series/?api_key=BEAADAAA22A257555A66D39732E56BAD&series_id=ELEC.PRICE.US-IND.M",221111,2.32745183276503e-10,"Utilities","Graphene"
"27","Electricity, at grid, US, 2000 [kWh]",60111299.1901058,0.0641,NA,"http://api.eia.gov/series/?api_key=BEAADAAA22A257555A66D39732E56BAD&series_id=ELEC.PRICE.US-IND.M",221111,0.050963994770852,"Utilities","Graphene"
"28","Electricity, at grid, US, 2008 [kWh]",237967.825557643,0.0641,NA,"http://api.eia.gov/series/?api_key=BEAADAAA22A257555A66D39732E56BAD&series_id=ELEC.PRICE.US-IND.M",221111,0.000201755596381237,"Utilities","Graphene"
"29","Graphene [kg]",150.666666666667,0,NA,NA,NA,0,NA,"Graphene"
"30","Hydrochloric acid, at plant [kg]",354.554004345911,0.08543,NA,"http://www.icis.com/chemicals/channel-info-chemicals-a-z/",325180,4.0062875690486e-07,"Chemical Manufacturing","Graphene"
"31","Hydrogen, liquid, synthesis gas, at plant [kg]",475864.847310736,62.25933,NA,"http://bgs.vermont.gov/sites/bgs/files/pdfs/purchasing/Airgas-Price-List.pdf",325120,0.391865820892117,"Chemical Manufacturing","Graphene"
"32","Hydrogen, liquid, synthesis gas, at plant [kg]",475864.847310736,62.25933,NA,"http://bgs.vermont.gov/sites/bgs/files/pdfs/purchasing/Airgas-Price-List.pdf",325120,0.391865820892117,"Chemical Manufacturing","Graphene"
"33","iron (III) chloride, 40% in H2O, at plant [kg]",15171.430310326,0.29,NA,"books.google.com/books?isbn=1420031635",325180,5.81934148585956e-05,"Chemical Manufacturing","Graphene"
"34","Iron, sand casted [kg]",5286.0778829754,0.335,NA,"https://www.census.gov/compendia/statab/2012/tables/12s0905.pdf",331110,2.34221998918338e-05,"Primary Metal Manufacturing","Graphene"
"35","municipal waste (unspecified) [kg]",-336.897521323835,0,NA,NA,NA,0,NA,"Graphene"
"36","Natural gas, at extraction site [m3]",80950653.6627133,0.148,NA,"http://api.eia.gov/series/?api_key=BEAADAAA22A257555A66D39732E56BAD&series_id=NG.N3035US3.A",211111,0.158464284410546,"Oil and Gas Extraction","Graphene"
"37","Natural gas, combusted in industrial boiler, at hydrocracker, for propylene [m3]",0.639704613930436,0.22,NA,"http://api.eia.gov/series/?api_key=BEAADAAA22A257555A66D39732E56BAD&series_id=NG.N3035US3.A",211111,1.86145045933778e-09,"Oil and Gas Extraction","Graphene"
"38","Natural gas, extracted [kg]",1398614.37273098,0.148,NA,"http://api.eia.gov/series/?api_key=BEAADAAA22A257555A66D39732E56BAD&series_id=NG.N3035US3.A",211111,0.00273784602981168,"Oil and Gas Extraction","Graphene"
"39","Natural gas, processed, for olefins production, at plant [kg]",1384766.70567424,0.148,NA,"http://api.eia.gov/series/?api_key=BEAADAAA22A257555A66D39732E56BAD&series_id=NG.N3035US3.A",211111,0.0027107386433779,"Oil and Gas Extraction","Graphene"
"40","oxygen [kg]",4.57341973872285,0.956829,NA,"http://bgs.vermont.gov/sites/bgs/files/pdfs/purchasing/Airgas-Price-List.pdf",325120,5.78794918923982e-08,"Chemical Manufacturing","Graphene"
"41","Oxygen, liquid, at plant [kg]",866.916772807966,0.956829,NA,"http://bgs.vermont.gov/sites/bgs/files/pdfs/purchasing/Airgas-Price-List.pdf",325120,1.09713748550739e-05,"Chemical Manufacturing","Graphene"
"42","polymethyl methacrylate (PMMA) beads [kg]",561.904826129801,1.7,2.4,"https://app.knovel.com/web/view/swf/show.v/rcid:kpMDTASMS2/cid:kt007DQRB1/viewerType:pdf/root_slug:materials-design-art?cid=kt007DQRB1&page=1&q=pmma%20price&b-q=pmma%20price&b-subscription=TRUE&b-group-by=true&b-search-type=tech-reference",325211,1.26345855974679e-05,"Chemical Manufacturing","Graphene"
"43","Propylene, at plant [kg]",5.8260886984455,1.124358454,NA,"http://www.icis.com/chemicals/channel-info-chemicals-a-z/",324110,8.66425449494561e-08,"Petroleum and Coal Products Manufacturing","Graphene"
"44","Sodium chloride, at plant [kg]",4280.92660735899,0.0085,NA,"http://minerals.usgs.gov/minerals/pubs/commodity/salt/mcs-2014-salt.pdf",325180,4.81289100413072e-07,"Chemical Manufacturing","Graphene"
"45","Sodium hydroxide, production mix, at plant [kg]",29.9519352690369,2.6,NA,"http://books.google.com/books?id=DJaxUL3numgC&pg=PA263&lpg=PA263&dq=hydrochloric+acid+kg+price&source=bl&ots=2dWfmx9S6t&sig=7RIPbC6N8ffN-3pzqR1HbC_qOZo&hl=en&sa=X&ei=sdj0U7WJKePHiwLml4HgDw&ved=0CG8Q6AEwBg#v=onepage&q=hydrochloric%20acid%20kg%20price&f=false",325180,1.03002450002462e-06,"Chemical Manufacturing","Graphene"
"46","Sulfur, at plant [kg]",0.00311985276131053,0.14,NA,"http://books.google.com/books?id=DJaxUL3numgC&pg=PA263&lpg=PA263&dq=hydrochloric+acid+kg+price&source=bl&ots=2dWfmx9S6t&sig=7RIPbC6N8ffN-3pzqR1HbC_qOZo&hl=en&sa=X&ei=sdj0U7WJKePHiwLml4HgDw&ved=0CG8Q6AEwBg#v=onepage&q=hydrochloric%20acid%20kg%20price&f=false",212393,5.77712084950095e-12,"Mining (except Oil and Gas)","Graphene"
"47","Sulfuric acid, at plant [kg]",0.00945409927669858,0.057,0.087,"http://www.icis.com/chemicals/channel-info-chemicals-a-z/",325180,7.12761663250117e-12,"Chemical Manufacturing","Graphene"
"48","Transport, combination truck, average fuel mix [t*km]",354.554004345911,20.79001,NA,"http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_statistics/html/table_03_21.html",484121,9.74959131726514e-05,"Truck Transportation","Graphene"
"49","transport, combination truck, diesel powered [t*km]",354.554004345911,20.79001,NA,"http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_statistics/html/table_03_21.html",484121,9.74959131726514e-05,"Truck Transportation","Graphene"
"50","Transport, pipeline, natural gas [t*km]",22277.6019883303,1.956363,NA,"http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_statistics/html/table_03_21.html",486210,0.000576457374760705,"Pipeline Transportation","Graphene"
"51","Transport, pipeline, unspecified petroleum products [t*km]",1571.31884724513,1.956363,NA,"http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_statistics/html/table_03_21.html",486110,4.06595978359534e-05,"Pipeline Transportation","Graphene"
"52","Ammonia, steam reforming, liquid, at plant [kg]",44078.7482621619,0.46,0.745,"http://www.icis.com/chemicals/channel-info-chemicals-a-z/",325311,4.65994717152365e-05,"Chemical Manufacturing","Graphite"
"53","Conductive Graphite Paint [kg]",2089532.38095238,199,NA,"https://www.tedpella.com/semmisc_html/sempaint.htm#anchor1326916",327992,0.955643897013128,"Nonmetallic Mineral Product Manufacturing","Graphite"
"54","Cured Graphite Paint, 1 m2, 1 micron [Item(s)]",9523809.52380952,0,NA,NA,NA,0,NA,"Graphite"
"55","de-ionised water [kg]",10447666.6666667,9e-04,NA,"http://books.google.com/books?id=DJaxUL3numgC&pg=PA263&lpg=PA263&dq=hydrochloric+acid+kg+price&source=bl&ots=2dWfmx9S6t&sig=7RIPbC6N8ffN-3pzqR1HbC_qOZo&hl=en&sa=X&ei=sdj0U7WJKePHiwLml4HgDw&ved=0CG8Q6AEwBg#v=onepage&q=hydrochloric%20acid%20kg%20price&f=false",325998,2.16100477217228e-05,"Chemical Manufacturing","Graphite"
"56","Electricity, at grid, US, 2000 [kWh]",43520.9781268694,0.0641,NA,"http://api.eia.gov/series/?api_key=BEAADAAA22A257555A66D39732E56BAD&series_id=ELEC.PRICE.US-IND.M",221111,6.41136623290205e-06,"Utilities","Graphite"
"57","Electricity, at grid, US, 2008 [kWh]",6885.28693165484,0.0641,NA,"http://api.eia.gov/series/?api_key=BEAADAAA22A257555A66D39732E56BAD&series_id=ELEC.PRICE.US-IND.M",221111,1.01431764719919e-06,"Utilities","Graphite"
"58","Natural gas, extracted [kg]",11886.7160438572,0.148,NA,"http://api.eia.gov/series/?api_key=BEAADAAA22A257555A66D39732E56BAD&series_id=NG.N3035US3.A",211111,4.04312819900496e-06,"Oil and Gas Extraction","Graphite"
"59","Natural gas, processed, for olefins production, at plant [kg]",11769.0257859972,0.148,NA,"http://api.eia.gov/series/?api_key=BEAADAAA22A257555A66D39732E56BAD&series_id=NG.N3035US3.A",211111,4.00309722673758e-06,"Oil and Gas Extraction","Graphite"
"60","Natural Graphite, Asia [kg]",447756.908925048,1.36,NA,"http://minerals.usgs.gov/minerals/pubs/commodity/graphite/mcs-2014-graph.pdf",212399,0.00139950712127725,"Mining (except Oil and Gas)","Graphite"
"61","Transport, combination truck, average fuel mix [t*km]",447756.908925048,20.79001,NA,"http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_statistics/html/table_03_21.html",484121,0.0213939463576656,"Truck Transportation","Graphite"
"62","transport, combination truck, diesel powered [t*km]",447756.908925048,20.79001,NA,"http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_statistics/html/table_03_21.html",484121,0.0213939463576656,"Truck Transportation","Graphite"
"63","Transport, pipeline, natural gas [t*km]",18909.7830044675,1.956363,NA,"http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_statistics/html/table_03_21.html",486210,8.50217215206694e-05,"Pipeline Transportation","Graphite"
